module,arch,classification,sample_compile_line,log_path
cryptsetup2,ppc64,fixed - pre-configure sed applied; validated V=1 (x86 & ppc64); commit fac65ebc7e,"... -Oz -pthread -MT lib/crypto_backend/argon2/libargon2_la-argon2.lo ...","build/ppc64/log/cryptsetup2.log"
cryptsetup2,x86,fixed - pre-configure sed applied; validated V=1 (x86 & ppc64); commit fac65ebc7e,"... CFLAGS=-Oz ./configure --host x86_64-elf-linux --prefix / --enable-internal-sse-argon2 ...","build/x86/log/cryptsetup2.configure.log"
zlib,x86,fixed - CFLAGS=-Oz applied (verified x86 & ppc64; legacy -O tokens remain in non-built files; TODO: verify arm64,riscv),"... -Oz -D_LARGEFILE64_SOURCE=1 -DHAVE_HIDDEN  -c -o adler32.o adler32.c","build/x86/log/zlib.log"
zlib,ppc64,fixed - CFLAGS=-Oz applied (verified x86 & ppc64; legacy -O tokens remain in non-built files; TODO: verify arm64,riscv),"... -Oz -D_LARGEFILE64_SOURCE=1 -DHAVE_HIDDEN  -c -o adler32.o adler32.c","build/ppc64/log/zlib.log"
tpmtotp,x86,fixed - pre-configure sed applied; validated V=1 (x86 & ppc64),"... -Oz -ggdb -Wp,-MMD,./.nv.o.d -Wp,-MT,nv.o -W -Wall -Wextra -std=c99 ... -o nv.o -c nv.c","build/x86/log/tpmtotp.log"
tpmtotp,ppc64,fixed - pre-configure sed applied; validated V=1 (x86 & ppc64),"... -Oz -ggdb -Wp,-MMD,./.nv.o.d -Wp,-MT,nv.o -W -Wall -Wextra -std=c99 ... -o nv.o -c nv.c","build/ppc64/log/tpmtotp.log"
npth,x86,fixed - pre-configure sed applied; validated V=1 (x86),"... -g -Oz -MT npth.lo -MD -MP -MF .deps/npth.Tpo -c -o npth.lo npth.c","build/x86/log/npth.log"
pciutils,x86,fixed - pre-configure sed applied; validated V=1 (x86 & ppc64),"... -Oz -Wall -W -Wno-parentheses -Wstrict-prototypes -Wmissing-prototypes   -c -o lspci.o lspci.c","build/x86/log/pciutils.log"
kbd,x86,fixed - pre-configure sed applied; validated V=1 (x86),"... -Oz -D_FORTIFY_SOURCE=2 -Oz -Waggregate-return ... -c -o getfd.o getfd.c","build/x86/log/kbd.log"
kexec-tools,x86,fixed - pre-configure sed applied; validated V=1 (x86 & ppc64),"... -Oz -fno-strict-aliasing -Wall -Wstrict-prototypes ... -c -o kexec/kexec.o kexec/kexec.c","build/x86/log/kexec-tools.log"
kexec-tools,ppc64,fixed - pre-configure sed applied; validated V=1 (x86 & ppc64),"... -Oz -fno-strict-aliasing -Wall -Wstrict-prototypes ... -c -o kexec/kexec.o kexec/kexec.c","build/ppc64/log/kexec-tools.log"
libaio,x86,fixed - pre-configure sed applied; validated V=1 (x86 & ppc64) - compile/link lines show -Oz,"... -g -fomit-frame-pointer -Oz -Wall -I. -fPIC -c struct_offsets.c","build/x86/log/libaio.log"
libaio,ppc64,fixed - pre-configure sed applied; validated V=1 (x86 & ppc64) - compile/link lines show -Oz,"... -shared -g -fomit-frame-pointer -Oz -Wall -I. -fPIC -o libaio.so.1.0.2 ...","build/ppc64/log/libaio.log"
tpm2-tss,x86,fixed - packaging-time sed applied; validated V=1 (no -O2 occurrences; -Oz:589),"... -Oz -std=c99 -Wall -Wextra -fstack-protector-all -fpic -fPIC ... -c src/tss2-tcti/tctildr.c","build/x86/log/tpm2-tss.log"
musl-cross-make,N/A,DEFERRED - buildsystem/toolchain issue; not a candidate for packaging-time fixes,"... -O2 ...","build/x86/log/musl-cross-make.log"
slang,x86,fixed (pre-configure substitution applied),"... -g -Oz -c -o slang.o slang.c","build/x86/log/slang.log"
slang,ppc64,fixed (pre-configure substitution applied),"... -g -Oz -c -o slang.o slang.c","build/ppc64/log/slang.log"
popt,ppc64,fixed - pre-configure sed applied; validated V=1 (x86 & ppc64),"... -Oz -g -c -o popt.o popt.c","build/ppc64/log/popt.log"
linux/coreboot,ppc64,DEFERRED - coreboot per-board build complexities; not a candidate for packaging-time fixes,"... -O2 ... -c ...","build/ppc64/log/coreboot-talos_2.log"
newt,x86,OK - no -O2/-O3,,"build/x86/log/newt.log"
ncurses,x86,OK - no -O2/-O3,,"build/x86/log/ncurses.log"
bash,,OK - CFLAGS=-Oz applied; Oz occurrences: 844,"... -Oz ...","build/x86/log/bash.log"
busybox,,OK - no -O2/-O3, ,build/x86/log/busybox.log
cairo,,OK - no -O2/-O3, ,build/x86/log/cairo.log
coreboot,,DEFERRED - per-board coreboot builds are out-of-scope for packaging-time fixes,,
coreboot-blobs,,N/A - placeholder, ,
cryptsetup,,UNUSED - restored to HEAD; not referenced by any boards (no validation required),,
cryptsetup,,UNUSED - restored to HEAD; not referenced by any boards (no validation required),,
dropbear,x86,fixed - packaging-time sed normalizes -O/Os -> -Oz only; validated V=1 (x86); size regression observed (dropbear: 184,832 -> 241,248; ssh: 176,416 -> 233,048, ≈+56 KiB) — likely due to compiler/toolchain (GCC 15.1.0 vs GCC 9.4.0) or upstream version changes; follow-ups: rebuild with GCC 9.4, symbol/section diffs, or linker-level mitigations,"... -Oz -W -Wall ...","build/x86/dropbear-2025.88/config.log"
 e2fsprogs,,OK - CFLAGS=-Oz applied; Oz occurrences: 450,"... -Oz ...","build/x86/log/e2fsprogs.log"
 exfatprogs,,OK - CFLAGS=-Oz applied; Oz occurrences: 68,"... -Oz ...","build/x86/log/exfatprogs.log"
fbwhiptail,,OK - no -O2/-O3, ,build/x86/log/fbwhiptail.log
flashprog,,OK - no -O2/-O3, ,build/x86/log/flashprog.log
flashrom,,UNKNOWN - no logs, ,
flashtools,,OK - no -O2/-O3, ,build/x86/log/flashtools.log
frotz,,UNKNOWN - no logs, ,
gpg,,OK - no -O2/-O3, ,build/x86/log/gpg.log
gpg2,,OK - CFLAGS=-Oz applied; Oz occurrences: 668 (x86 & ppc64),"... -Oz ...","build/x86/log/gpg2.log"
hidapi,,OK - no -O2/-O3, ,build/x86/log/hidapi.log
hotp-verification,,OK - no -O2/-O3, ,build/x86/log/hotp-verification.log
io386,,OK - no -O2/-O3, ,build/x86/log/io386.log
ioport,,UNKNOWN - no logs, ,
json-c,,OK - no -O2/-O3, ,build/x86/log/json-c.log
libassuan,,OK - no -O2/-O3, ,build/x86/log/libassuan.log
libgcrypt,,OK - CFLAGS=-Oz applied; Oz occurrences: 1079 (scan across x86/ppc64),"... -Oz ...","build/x86/log/libgcrypt.log"
libgpg-error,,OK - no -O2/-O3, ,build/x86/log/libgpg-error.log
libhidapi-libusb,,UNKNOWN - no logs, ,
libksba,,OK - no -O2/-O3, ,build/x86/log/libksba.log
libnitrokey,,UNKNOWN - no logs, ,
libpng,,OK - CFLAGS=-Oz applied; Oz occurrences: 88,"... -Oz ...","build/x86/log/libpng.log"
libusb,,OK - no -O2/-O3, ,build/x86/log/libusb.log
libusb-compat,,UNKNOWN - no logs, ,
linux,,non -Oz flags in subcomponents, ,build/ppc64/log/linux.log
linuxboot,,UNKNOWN - no logs, ,
lvm2,,OK - no -O2/-O3, ,build/x86/log/lvm2.log
mbedtls,,OK - no -O2/-O3, ,build/x86/log/mbedtls.log
msrtools,,OK - no -O2/-O3, ,build/x86/log/msrtools.log
nkstorecli,,UNKNOWN - no logs, ,
openssl,,OK - CFLAGS=-Oz applied; Oz occurrences: 1481,"... -Oz ...","build/x86/log/openssl.log"
pinentry,,OK - no -O2/-O3, ,build/x86/log/pinentry.log
pixman,,OK - no -O2/-O3, ,build/x86/log/pixman.log
powerpc-utils,,OK - no -O2/-O3, ,build/ppc64/log/powerpc-utils.log
purism-blobs,,N/A - binary blobs, ,
qrencode,,OK - explicitly set -Oz, ,build/x86/log/qrencode.log
tpm2-tools,,CONFIRMED - hardcoded -O2 (3 occurrences across logs), ,build/x86/log/tpm2-tools.log
u-root,,UNKNOWN - no logs, ,
util-linux,,OK - no -O2/-O3, ,build/x86/log/util-linux.log
zstd,,OK - no -O2/-O3, ,build/x86/log/zstd.log
