module,O,Os,O2,O3,Oz,total,examples
libgcrypt,0,0,0,0,368,368,build/ppc64/log/libgcrypt.log
gpg2,0,0,0,0,334,334,build/ppc64/log/gpg2.log
tpmtotp,0,0,0,0,143,143,build/ppc64/log/tpmtotp.log
slang,0,0,0,0,82,82,build/ppc64/log/slang.log
libksba,0,0,0,0,62,62,build/ppc64/log/libksba.log
libassuan,0,0,0,0,58,58,build/ppc64/log/libassuan.log
kexec-tools,0,0,0,0,52,52,build/ppc64/log/kexec-tools.log
musl-cross-make,0,0,50,0,0,50,build/ppc64/log/musl-cross-make.log
libgpg-error,0,0,0,0,45,45,build/ppc64/log/libgpg-error.log
zlib,0,0,0,0,31,31,build/ppc64/log/zlib.log
pciutils,0,0,0,0,24,24,build/ppc64/log/pciutils.log
newt,0,0,0,0,17,17,build/ppc64/log/newt.log
npth,0,0,0,0,15,15,build/ppc64/log/npth.log
pinentry,0,0,0,0,4,4,build/ppc64/log/pinentry.log
bash,0,0,0,0,4,4,build/ppc64/log/bash.log
coreboot-talos_2,0,0,3,0,0,3,build/ppc64/log/coreboot-talos_2.log
libaio,0,0,0,0,2,2,build/ppc64/log/libaio.log
zstd,0,0,0,0,1,1,build/ppc64/log/zstd.log
mbedtls,0,0,0,0,1,1,build/ppc64/log/mbedtls.log
flashtools,0,0,0,0,1,1,build/ppc64/log/flashtools.log
flashprog,0,0,0,0,1,1,build/ppc64/log/flashprog.log
dropbear,0,0,0,0,1,1,build/ppc64/log/dropbear.log
